NextRAD Sample Name,NextRAD Sample ID Name: Partial,NextRAD Tissue Database Names (Subset),Populations,popNames
QUAC_W_SH_Q2006,SH_Q2006,QAc-W-0045,Magazine Mountain,Magazine
QUAC_W_SH_Q2007,SH_Q2007,QAc-W-0046,Magazine Mountain,Magazine
QUAC_W_SH_Q2008,SH_Q2008,QAc-W-0047,Magazine Mountain,Magazine
QUAC_W_SH_Q2050,SH_Q2050,QAc-W-0050,Magazine Mountain,Magazine
QUAC_W_SH_Q2051,SH_Q2051,QAc-W-0051,Magazine Mountain,Magazine
QUAC_W_SH_Q2055,SH_Q2055,QAc-W-0055,Magazine Mountain,Magazine
QUAC_W_SH_Q2056,SH_Q2056,QAc-W-0056,Magazine Mountain,Magazine
QUAC_W_SH_Q2057,SH_Q2057,QAc-W-0057,Magazine Mountain,Magazine
QUAC_W_SH_Q2058,SH_Q2058,QAc-W-0058,Magazine Mountain,Magazine
QUAC_W_SH_Q2059,SH_Q2059,QAc-W-0059,Magazine Mountain,Magazine
QUAC_W_SH_Q2060,SH_Q2060,QAc-W-0060,Magazine Mountain,Magazine
QUAC_W_SH_Q2061,SH_Q2061,QAc-W-0061,Magazine Mountain,Magazine
QUAC_W_SH_Q2062,SH_Q2062,QAc-W-0062,Magazine Mountain,Magazine
QUAC_W_SH_Q2063,SH_Q2063,QAc-W-0063,Magazine Mountain,Magazine
QUAC_W_SH_Q2064,SH_Q2064,QAc-W-0064,Magazine Mountain,Magazine
QUAC_W_SH_Q2066,SH_Q2066,QAc-W-0066,Magazine Mountain,Magazine
QUAC_W_SH_Q2068,SH_Q2068,QAc-W-0068,Magazine Mountain,Magazine
QUAC_W_SH_Q2070,SH_Q2070,QAc-W-0070,Magazine Mountain,Magazine
QUAC_W_SH_Q2071,SH_Q2071,QAc-W-0071,Magazine Mountain,Magazine
QUAC_W_SH_Q2073,SH_Q2073,QAc-W-0073,Magazine Mountain,Magazine
QUAC_W_SH_Q2074,SH_Q2074,QAc-W-0074,Magazine Mountain,Magazine
QUAC_W_SH_Q2076,SH_Q2076,QAc-W-0076,Magazine Mountain,Magazine
QUAC_W_SH_Q2078,SH_Q2078,QAc-W-0078,Pryor Mountain,Pryor
QUAC_W_SH_Q2080,SH_Q2080,QAc-W-0080,Pryor Mountain,Pryor
QUAC_W_SH_Q2082,SH_Q2082,QAc-W-0082,Pryor Mountain,Pryor
QUAC_W_SH_Q2084,SH_Q2084,QAc-W-0084,Pryor Mountain,Pryor
QUAC_W_SH_Q2086,SH_Q2086,QAc-W-0086,Pryor Mountain,Pryor
QUAC_W_SH_Q2088,SH_Q2088,QAc-W-0088,Pryor Mountain,Pryor
QUAC_W_SH_Q2090,SH_Q2090,QAc-W-0090,Pryor Mountain,Pryor
QUAC_W_SH_Q2091,SH_Q2091,QAc-W-0091,Pryor Mountain,Pryor
QUAC_W_SH_Q2092,SH_Q2092,QAc-W-0092,Pryor Mountain,Pryor
QUAC_W_SH_Q2093,SH_Q2093,QAc-W-0093,Pryor Mountain,Pryor
QUAC_W_SH_Q2094,SH_Q2094,QAc-W-0094,Pryor Mountain,Pryor
QUAC_W_SH_Q2096,SH_Q2096,QAc-W-0096,Pryor Mountain,Pryor
QUAC_W_SH_Q2100,SH_Q2100,QAc-W-0100,Pryor Mountain,Pryor
QUAC_W_SH_Q2101,SH_Q2101,QAc-W-0101,Pryor Mountain,Pryor
QUAC_W_SH_Q2105,SH_Q2105,QAc-W-0105,Pryor Mountain,Pryor
QUAC_W_SH_Q2108,SH_Q2108,QAc-W-0108,Pryor Mountain,Pryor
QUAC_W_SH_Q2111,SH_Q2111,QAc-W-0111,Pryor Mountain,Pryor
QUAC_W_SH_Q2113,SH_Q2113,QAc-W-0113,Sugar Loaf Mountains - Midland Peak,Sugar Loaf
QUAC_W_SH_Q2114,SH_Q2114,QAc-W-0114,Sugar Loaf Mountains - Midland Peak,Sugar Loaf
QUAC_W_SH_Q2115,SH_Q2115,QAc-W-0115,Sugar Loaf Mountains - Midland Peak,Sugar Loaf
QUAC_W_SH_Q2117,SH_Q2117,QAc-W-0117,Sugar Loaf Mountains - Midland Peak,Sugar Loaf
QUAC_W_SH_Q2118,SH_Q2118,QAc-W-0118,Sugar Loaf Mountains - Midland Peak,Sugar Loaf
QUAC_W_SH_Q2119,SH_Q2119,QAc-W-0119,Sugar Loaf Mountains - Midland Peak,Sugar Loaf
QUAC_W_SH_Q2120,SH_Q2120,QAc-W-0120,Sugar Loaf Mountains - Midland Peak,Sugar Loaf
QUAC_W_SH_Q2121,SH_Q2121,QAc-W-0121,Sugar Loaf Mountains - Midland Peak,Sugar Loaf
QUAC_W_SH_Q2122,SH_Q2122,QAc-W-0122,Sugar Loaf Mountains - Midland Peak,Sugar Loaf
QUAC_W_SH_Q2123,SH_Q2123,QAc-W-0123,Sugar Loaf Mountains - Midland Peak,Sugar Loaf
QUAC_W_SH_Q2124,SH_Q2124,QAc-W-0124,Sugar Loaf Mountains - Midland Peak,Sugar Loaf
QUAC_W_SH_Q2125,SH_Q2125,QAc-W-0125,Sugar Loaf Mountains - Midland Peak,Sugar Loaf
QUAC_W_SH_Q2126,SH_Q2126,QAc-W-0126,Sugar Loaf Mountains - Midland Peak,Sugar Loaf
QUAC_W_SH_Q2127,SH_Q2127,QAc-W-0127,Sugar Loaf Mountains - Midland Peak,Sugar Loaf
QUAC_W_SH_Q2135,SH_Q2135,QAc-W-0135,Sugar Loaf Mountains - Midland Peak,Sugar Loaf
QUAC_W_SH_Q2136,SH_Q2136,QAc-W-0136,Sugar Loaf Mountains - Midland Peak,Sugar Loaf
QUAC_W_SH_Q2142,SH_Q2142,QAc-W-0142,Sugar Loaf Mountains - Midland Peak,Sugar Loaf
QUAC_W_SH_Q2147,SH_Q2147,QAc-W-0147,Sugar Loaf Mountains - Midland Peak,Sugar Loaf
QUAC_W_SH_Q2151,SH_Q2151,QAc-W-0151,Sugar Loaf Mountains - Midland Peak,Sugar Loaf
QUAC_W_SH_Q2152,SH_Q2152,QAc-W-0152,Sugar Loaf Mountains - Midland Peak,Sugar Loaf
QUAC_W_SH_Q2153,SH_Q2153,QAc-W-0153,Sugar Loaf Mountains - Midland Peak,Sugar Loaf
QUAC_W_SH_Q2155,SH_Q2155,QAc-W-0155,Sugar Loaf Mountains - Midland Peak,Sugar Loaf
QUAC_W_SH_Q2157,SH_Q2157,QAc-W-0157,Sugar Loaf Mountains - Midland Peak,Sugar Loaf
QUAC_W_SH_Q2158,SH_Q2158,QAc-W-0158,Sugar Loaf Mountains - Midland Peak,Sugar Loaf
QUAC_W_SH_Q2161,SH_Q2161,QAc-W-0161,Sugar Loaf Mountains - Midland Peak,Sugar Loaf
QUAC_W_SH_Q2163,SH_Q2163,QAc-W-0163,Sugar Loaf Mountains - Midland Peak,Sugar Loaf
QUAC_W_SH_Q2168,SH_Q2168,QAc-W-0168,Kessler Mountain Regional Park - Shale Barren ridge,Kessler
QUAC_W_SH_Q2170,SH_Q2170,QAc-W-0170,Kessler Mountain Regional Park - Shale Barren ridge,Kessler
QUAC_W_SH_Q2171,SH_Q2171,QAc-W-0171,Kessler Mountain Regional Park - Shale Barren ridge,Kessler
QUAC_W_SH_Q2172,SH_Q2172,QAc-W-0172,Kessler Mountain Regional Park - Shale Barren ridge,Kessler
QUAC_W_SH_Q2173,SH_Q2173,QAc-W-0173,Kessler Mountain Regional Park - Shale Barren ridge,Kessler
QUAC_W_SH_Q2174,SH_Q2174,QAc-W-0174,Kessler Mountain Regional Park - Shale Barren ridge,Kessler
