NextRAD Sample Name,NextRAD Sample ID Name: Partial,NextRAD Tissue Database Names (Subset),Populations,popNames
QUAC_G_SH_Q1485,SH_Q1485,QAc-G-0026,United States National Arboretum,Magazine
QUAC_G_SH_Q1499,SH_Q1499,QAc-G-0003,Missouri Botanical Garden,Magazine
QUAC_G_SH_Q1500,SH_Q1500,QAc-G-0004,Missouri Botanical Garden,Magazine
QUAC_G_SH_Q1501,SH_Q1501,QAc-G-0005,Missouri Botanical Garden,Magazine
QUAC_G_SH_Q1504,SH_Q1504,QAc-G-0008,Missouri Botanical Garden,Pryor
QUAC_G_SH_Q1506,SH_Q1506,QAc-G-0010,The Morton Arboretum,Magazine
QUAC_G_SH_Q1507,SH_Q1507,QAc-G-0011,The Morton Arboretum,Unknown
QUAC_G_SH_Q1508,SH_Q1508,QAc-G-0012,The Morton Arboretum,Unknown
QUAC_G_SH_Q1513,SH_Q1513,QAc-G-0019,Huntington Botanical Gardens,Porter
QUAC_G_SH_Q1514,SH_Q1514,QAc-G-0020,Huntington Botanical Gardens,Porter
QUAC_G_SH_Q1515,SH_Q1515,QAc-G-0021,Huntington Botanical Gardens,Pryor
QUAC_G_SH_Q1516,SH_Q1516,QAc-G-0022,Huntington Botanical Gardens,Pryor
QUAC_G_SH_Q1517,SH_Q1517,QAc-G-0023,Huntington Botanical Gardens,Pryor
QUAC_G_SH_Q1518,SH_Q1518,QAc-G-0024,Huntington Botanical Gardens,Pryor
QUAC_G_SH_Q1519,SH_Q1519,QAc-G-0025,United States National Arboretum,Magazine
QUAC_G_SH_Q1520,SH_Q1520,QAc-G-0016,Huntington Botanical Gardens,Porter
QUAC_G_SH_Q1523,SH_Q1523,QAc-G-0029,Arboretum Pouyouleix,Pryor
QUAC_G_SH_Q1525,SH_Q1525,QAc-G-0031,Arboretum Pouyouleix,Pryor
QUAC_G_SH_Q1526,SH_Q1526,QAc-G-0032,Denver Botanic Gardens,Magazine
QUAC_G_SH_Q1528,SH_Q1528,QAc-G-0034,Denver Botanic Gardens,Porter
QUAC_G_SH_Q1531,SH_Q1531,QAc-G-0037,Denver Botanic Gardens,Porter
QUAC_G_SH_Q1536,SH_Q1536,QAc-G-0042,Denver Botanic Gardens,Porter
QUAC_G_SH_Q1550,SH_Q1550,QAc-G-0056,Denver Botanic Gardens,Pryor
QUAC_G_SH_Q1551,SH_Q1551,QAc-G-0057,Denver Botanic Gardens,Pryor
QUAC_G_SH_Q1553,SH_Q1553,QAc-G-0059,Denver Botanic Gardens,Pryor
QUAC_G_SH_Q1555,SH_Q1555,QAc-G-0061,Arnold Arboretum,Pryor
QUAC_G_SH_Q1556,SH_Q1556,QAc-G-0062,Arnold Arboretum,Magazine
QUAC_G_SH_Q1559,SH_Q1559,QAc-G-0065,Arnold Arboretum,Magazine
QUAC_G_SH_Q1563,SH_Q1563,QAc-G-0069,Arnold Arboretum,Magazine
QUAC_G_SH_Q1565,SH_Q1565,QAc-G-0071,Arnold Arboretum,Magazine
QUAC_G_SH_Q1566,SH_Q1566,QAc-G-0072,Arnold Arboretum,Magazine
QUAC_G_SH_Q1569,SH_Q1569,QAc-G-0075,Arnold Arboretum,Porter
QUAC_G_SH_Q1574,SH_Q1574,QAc-G-0080,Arnold Arboretum,Pryor
QUAC_G_SH_Q1576,SH_Q1576,QAc-G-0082,Arnold Arboretum,Sugar Loaf
QUAC_G_SH_Q1577,SH_Q1577,QAc-G-0083,Arnold Arboretum,Magazine
QUAC_G_SH_Q1588,SH_Q1588,QAc-G-0116,The Morton Arboretum,Magazine
QUAC_G_SH_Q1590,SH_Q1590,QAc-G-0118,The Morton Arboretum,Magazine
QUAC_G_SH_Q1592,SH_Q1592,QAc-G-0120,The Morton Arboretum,Magazine
QUAC_G_SH_Q1615,SH_Q1615,QAc-G-0143,The Morton Arboretum,Magazine
QUAC_G_SH_Q1618,SH_Q1618,QAc-G-0146,The Morton Arboretum,Magazine
QUAC_G_SH_Q1621,SH_Q1621,QAc-G-0150,The Morton Arboretum,Magazine
QUAC_G_SH_Q1628,SH_Q1628,QAc-G-0159,The Morton Arboretum,Magazine
QUAC_G_SH_Q1632,SH_Q1632,QAc-G-0163,The Morton Arboretum,Magazine
QUAC_G_SH_Q1668,SH_Q1668,QAc-G-0199,The Morton Arboretum,Magazine
QUAC_G_SH_Q1671,SH_Q1671,QAc-G-0202,The Morton Arboretum,Magazine
QUAC_G_SH_Q1673,SH_Q1673,QAc-G-0204,The Morton Arboretum,Pryor
QUAC_G_SH_Q1690,SH_Q1690,QAc-G-0221,The Morton Arboretum,Pryor
QUAC_G_SH_Q1692,SH_Q1692,QAc-G-0223,The Morton Arboretum,Pryor
QUAC_G_SH_Q1699,SH_Q1699,QAc-G-0231,The Morton Arboretum,Porter
QUAC_G_SH_Q1716,SH_Q1716,QAc-G-0248,The Morton Arboretum,Porter
QUAC_G_SH_Q1719,SH_Q1719,QAc-G-0251,Peckerwood,Porter
QUAC_G_SH_Q1722,SH_Q1722,QAc-G-0254,Peckerwood,Pryor
QUAC_G_SH_Q1727,SH_Q1727,QAc-G-0259,Peckerwood,Magazine
QUAC_G_SH_Q1728,SH_Q1728,QAc-G-0260,Peckerwood,Magazine
QUAC_G_SH_Q1730,SH_Q1730,QAc-G-0262,Peckerwood,Magazine
QUAC_G_SH_Q1832,SH_Q1832,QAc-G-0270,Morris Arboretum,Pryor
QUAC_G_SH_Q2021,SH_Q2021,QAc-G-0288,Chicago Botanic Gardens,Magazine
QUAC_G_SH_Q2025,SH_Q2025,QAc-G-0292,Chicago Botanic Gardens,Magazine
QUAC_G_SH_Q2026,SH_Q2026,QAc-G-0293,Chicago Botanic Gardens,Magazine
QUAC_G_SH_Q2033,SH_Q2033,QAc-G-0300,Chicago Botanic Gardens,Porter
QUAC_G_SH_Q2034,SH_Q2034,QAc-G-0301,Chicago Botanic Gardens,Porter
QUAC_G_SH_Q2037,SH_Q2037,QAc-G-0304,Chicago Botanic Gardens,Magazine
QUAC_G_SH_Q2039,SH_Q2039,QAc-G-0306,Chicago Botanic Gardens,Magazine
QUAC_G_SH_Q2045,SH_Q2045,QAc-G-0312,Chicago Botanic Gardens,Pryor
QUAC_G_SH_Q2046,SH_Q2046,QAc-G-0313,Chicago Botanic Gardens,Sugar Loaf
QUAC_G_SH_Q2047,SH_Q2047,QAc-G-0314,Chicago Botanic Gardens,Sugar Loaf
QUAC_G_SH_Q2048,SH_Q2048,QAc-G-0315,Chicago Botanic Gardens,Sugar Loaf
QUAC_G_SH_Q2188,SH_Q2188,QAc-G-0258,Peckerwood,Magazine
QUAC_G_SH_Q2190,SH_Q2190,QAc-G-0310,Chicago Botanic Gardens,Pryor
QUAC_G_SH_Q2191,SH_Q2191,QAc-G-0256,Peckerwood,Magazine
QUAC_G_SH_Q2199,SH_Q2199,QAc-G-0030,Arboretum Pouyouleix,Pryor
QUAC_G_SH_Q2200,SH_Q2200,QAc-G-0002,Bartlett Tree Research Laboratories,Unknown
QUAC_G_SH_Q2201,SH_Q2201,QAc-G-0001,Bartlett Tree Research Laboratories,Unknown
QUAC_G_SH_Q2202,SH_Q2202,QAc-G-0281,Forstbotanischer Garten Tharandt,Pryor
QUAC_G_SH_Q2203,SH_Q2203,QAc-G-0279,Forstbotanischer Garten Tharandt,Porter
QUAC_G_SH_Q2204,SH_Q2204,QAc-G-0280,Forstbotanischer Garten Tharandt,Porter
QUAC_G_SH_Q2205,SH_Q2205,QAc-G-0277,Forstbotanischer Garten Tharandt,Magazine
QUAC_G_SH_Q2206,SH_Q2206,QAc-G-0276,Forstbotanischer Garten Tharandt,Magazine
QUAC_G_SH_Q2207,SH_Q2207,QAc-G-0250,Meise Botanic Garden,Unknown
QUAC_G_SH_Q2208,SH_Q2208,QAc-G-0009,Missouri Botanical Garden,Unknown
QUAC_G_SH_Q2209,SH_Q2209,QAc-G-0283,Moore Farms Botanical Garden,Pryor
QUAC_G_SH_Q2210,SH_Q2210,QAc-G-0274,Morris Arboretum,Pryor
QUAC_G_SH_Q2211,SH_Q2211,QAc-G-0273,Morris Arboretum,Magazine
QUAC_G_SH_Q2212,SH_Q2212,QAc-G-0265,Morris Arboretum,Pryor
QUAC_G_SH_Q2213,SH_Q2213,QAc-G-0268,Morris Arboretum,Magazine
QUAC_G_SH_Q2214,SH_Q2214,QAc-G-0267,Morris Arboretum,Magazine
QUAC_G_SH_Q2215,SH_Q2215,QAc-G-0257,Peckerwood,Magazine
QUAC_G_SH_Q2216,SH_Q2216,QAc-G-0015,The Morton Arboretum,Pryor
QUAC_G_SH_Q2217,SH_Q2217,QAc-G-0165,The Morton Arboretum,Magazine
QUAC_G_SH_Q2219,SH_Q2219,QAc-G-0227,The Morton Arboretum,Porter
QUAC_G_SH_Q2222,SH_Q2222,QAc-G-0247,The Morton Arboretum,Porter
QUAC_G_SH_Q2223,SH_Q2223,QAc-G-0028,United States National Arboretum,Porter
QUAC_G_SH_Q2224,SH_Q2224,QAc-G-0027,United States National Arboretum,Magazine
QUAC_G_SH_Q2225,SH_Q2225,QAc-G-0275,University of Washington Botanic Gardens,Pyror
QUAC_G_SH_Q2226,SH_Q2226,QAc-G-0264,Zoo and BG Plzen,Unknown
QUAC_G_SH_Q2227,SH_Q2227,QAc-G-0263,Zoo and BG Plzen,Magazine
QUAC_W_SH_Q1850,SH_Q1850,QAc-W-0002,Porter Mountain,Porter
QUAC_W_SH_Q1854,SH_Q1854,QAc-W-0006,Porter Mountain,Porter
QUAC_W_SH_Q1856,SH_Q1856,QAc-W-0008,Porter Mountain,Porter
QUAC_W_SH_Q1862,SH_Q1862,QAc-W-0014,Porter Mountain,Porter
QUAC_W_SH_Q1865,SH_Q1865,QAc-W-0017,Porter Mountain,Porter
QUAC_W_SH_Q1866,SH_Q1866,QAc-W-0018,Porter Mountain,Porter
QUAC_W_SH_Q1868,SH_Q1868,QAc-W-0020,Porter Mountain,Porter
QUAC_W_SH_Q1869,SH_Q1869,QAc-W-0021,Porter Mountain,Porter
QUAC_W_SH_Q1870,SH_Q1870,QAc-W-0022,Porter Mountain,Porter
QUAC_W_SH_Q1871,SH_Q1871,QAc-W-0023,Porter Mountain,Porter
QUAC_W_SH_Q1872,SH_Q1872,QAc-W-0024,Porter Mountain,Porter
QUAC_W_SH_Q1873,SH_Q1873,QAc-W-0025,Porter Mountain,Porter
QUAC_W_SH_Q1874,SH_Q1874,QAc-W-0026,Porter Mountain,Porter
QUAC_W_SH_Q1875,SH_Q1875,QAc-W-0027,Porter Mountain,Porter
QUAC_W_SH_Q1876,SH_Q1876,QAc-W-0028,Porter Mountain,Porter
QUAC_W_SH_Q1877,SH_Q1877,QAc-W-0029,Porter Mountain,Porter
QUAC_W_SH_Q1878,SH_Q1878,QAc-W-0030,Porter Mountain,Porter
QUAC_W_SH_Q1879,SH_Q1879,QAc-W-0031,Porter Mountain,Porter
QUAC_W_SH_Q1880,SH_Q1880,QAc-W-0032,Porter Mountain,Porter
QUAC_W_SH_Q1881,SH_Q1881,QAc-W-0033,Porter Mountain,Porter
QUAC_W_SH_Q1882,SH_Q1882,QAc-W-0034,Porter Mountain,Porter
QUAC_W_SH_Q1885,SH_Q1885,QAc-W-0037,Porter Mountain,Porter
QUAC_W_SH_Q1886,SH_Q1886,QAc-W-0038,Porter Mountain,Porter
QUAC_W_SH_Q2001,SH_Q2001,QAc-W-0040,Porter Mountain,Porter
QUAC_W_SH_Q2002,SH_Q2002,QAc-W-0041,Porter Mountain,Porter
QUAC_W_SH_Q2003,SH_Q2003,QAc-W-0042,Magazine Mountain,Magazine
