Group	Ind	PopID	P1	P2	P3	P4	P5	P6	P7
ArnoldArb	QUAC+AF8-G+AF8-Q1577	QUAC+AF8-AA	0	0	0	0	0	0	1
ArnoldArb	QUAC+AF8-G+AF8-Q1577	QUAC+AF8-AA	0	0	0	0	0	0	1
SLM	QUAC+AF8-W+AF8-Q2121	QUAC+AF8-SLM	0	0	0	0	0	1	0
SLM	QUAC+AF8-W+AF8-Q2121	QUAC+AF8-SLM	0	0	0	0	0	1	0
SLM	QUAC+AF8-W+AF8-Q2163	QUAC+AF8-SLM	0.1714	0.0762	0.0168	0.321	0.1025	0.2816	0.0305
KMRP	QUAC+AF8-W+AF8-Q2170	QUAC+AF8-KMRP	0.8627	0.0551	0.0102	0	0.0332	0.0335	0.0053
ABG	QUBO+AF8-G+AF8-IMLS313	QUBO+AF8-ABG	0	0	0	0	1	0	0
TMA	QUBO+AF8-G+AF8-IMLS380	QUBO+AF8-TMA	0.0258	0.0128	0.0016	0.0034	0.9563	0.0001	0
BTKC	QUBO+AF8-W+AF8-IMLS015	QUBO+AF8-BTKC	0.0509	0.5345	0.0452	0.2362	0.1317	0	0.0015
EBSCO	QUBO+AF8-W+AF8-IMLS139	QUBO+AF8-EBSCO	0	0	0.94	0	0	0.02	0.04
EBSCO	QUBO+AF8-W+AF8-IMLS139	QUBO+AF8-EBSCO	0	0	0.94	0	0	0.02	0.04
EBSCO	QUBO+AF8-W+AF8-IMLS151	QUBO+AF8-EBSCO	0.0582	0.8482	0.0041	0.0064	0.0831	0	0
