Group	Ind	PopID	P1	P2	P3	P4	P5	P6	P7
ArnoldArb	QUAC+AF8-G+AF8-Q1577	QUAC+AF8-AA	0.9997	0	0	0.0001	0	0.0001	0.0001
ArnoldArb	QUAC+AF8-G+AF8-Q1577	QUAC+AF8-AA	0.9994	0	0.0001	0.0001	0	0.0002	0.0001
SLM	QUAC+AF8-W+AF8-Q2121	QUAC+AF8-SLM	0.1294	0.0001	0.0004	0.0005	0.0002	0.8686	0.0007
SLM	QUAC+AF8-W+AF8-Q2121	QUAC+AF8-SLM	0.1305	0.0001	0.0002	0.0006	0	0.8683	0.0003
SLM	QUAC+AF8-W+AF8-Q2163	QUAC+AF8-SLM	0.0134	0.0043	0.0395	0.8876	0.001	0.012	0.0422
KMRP	QUAC+AF8-W+AF8-Q2170	QUAC+AF8-KMRP	0.0018	0.0065	0.1465	0.3145	0.001	0.0327	0.497
ABG	QUBO+AF8-G+AF8-IMLS313	QUBO+AF8-ABG	0.0005	0.9644	0.0179	0.0044	0.0033	0.0042	0.0053
TMA	QUBO+AF8-G+AF8-IMLS380	QUBO+AF8-TMA	0.0011	0.8947	0.0667	0.0113	0.0023	0.0087	0.0152
BTKC	QUBO+AF8-W+AF8-IMLS015	QUBO+AF8-BTKC	0.0007	0.1143	0.7477	0.0875	0.0049	0.0098	0.0351
EBSCO	QUBO+AF8-W+AF8-IMLS139	QUBO+AF8-EBSCO	0	0.0003	0.0001	0.0001	0.9985	0.0009	0.0001
EBSCO	QUBO+AF8-W+AF8-IMLS139	QUBO+AF8-EBSCO	0.0008	0.001	0.0011	0.001	0.9936	0.0015	0.0009
EBSCO	QUBO+AF8-W+AF8-IMLS151	QUBO+AF8-EBSCO	0.0005	0.0011	0.2287	0.1379	0.0065	0.0222	0.603
