Sample Name,Sample Name (Partial),Corresponding Tissue Names,Latitude,Longitude,Garden/Wild,Source (Garden or Wild Population Name)
QUBO_W_IMLS015,IMLS015,QBW187,33.34496,-86.6961,Wild,Oak Mountain State Park
QUBO_W_IMLS016,IMLS016,QBW200,33.34689,-86.6932,Wild,Oak Mountain State Park
QUBO_W_IMLS018,IMLS018,QBW206,33.37833,-86.6738,Wild,Oak Mountain State Park
QUBO_W_IMLS139,IMLS139,QBW069,33.3724,-86.6755,Wild,Oak Mountain State Park
QUBO_W_IMLS141,IMLS141,QBW071,33.37232,-86.6754,Wild,Oak Mountain State Park
QUBO_W_IMLS150,IMLS150,QBW080,33.37173,-86.6767,Wild,Oak Mountain State Park
QUBO_W_IMLS151,IMLS151,QBW081,33.37072,-86.6776,Wild,Oak Mountain State Park
QUBO_W_IMLS154,IMLS154,QBW084,33.36428,-86.6838,Wild,Oak Mountain State Park
QUBO_W_IMLS164,IMLS164,QBW094,33.3561,-86.6902,Wild,Oak Mountain State Park
QUBO_W_IMLS173,IMLS173,QBW104,33.35162,-86.6861,Wild,Oak Mountain State Park
QUBO_W_IMLS177,IMLS177,QBW108,33.35215,-86.6853,Wild,Oak Mountain State Park
QUBO_W_IMLS178,IMLS178,QBW110,33.3523,-86.6851,Wild,Oak Mountain State Park
QUBO_W_IMLS245,IMLS245,QBW173,33.34569,-86.695,Wild,Oak Mountain State Park
QUBO_W_IMLS248,IMLS248,QBW176,33.34569,-86.6947,Wild,Oak Mountain State Park
QUBO_W_IMLS253,IMLS253,QBW181,33.34548,-86.6952,Wild,Oak Mountain State Park
QUBO_W_IMLS258,IMLS258,QBW208,33.37715,-86.6747,Wild,Oak Mountain State Park
QUBO_W_IMLS260,IMLS260,QBW209,33.37704,-86.6749,Wild,Oak Mountain State Park
QUBO_W_IMLS261,IMLS261,QBW188,33.34637,-86.6942,Wild,Oak Mountain State Park
QUBO_W_IMLS262,IMLS262,QBW210,33.37723,-86.6743,Wild,Oak Mountain State Park
QUBO_W_IMLS264,IMLS264,QBW211,33.3797,-86.6731,Wild,Oak Mountain State Park
QUBO_W_IMLS268,IMLS268,QBW192,33.34635,-86.694,Wild,Oak Mountain State Park
QUBO_W_IMLS276,IMLS276,QBW201,33.34699,-86.6929,Wild,Oak Mountain State Park
QUBO_W_IMLS278,IMLS278,QBW204,33.37877,-86.6733,Wild,Oak Mountain State Park
QUBO_W_IMLS279,IMLS279,QBW205,33.37844,-86.6737,Wild,Oak Mountain State Park
QUBO_W_IMLS280,IMLS280,QBW207,33.37783,-86.6742,Wild,Oak Mountain State Park
QUBO_W_SH_Q2181,SH_Q2181,QBW100,33.35176,-86.6863,Wild,Oak Mountain State Park
QUBO_W_SH_Q2182,SH_Q2182,QBW074,33.37271,-86.6758,Wild,Oak Mountain State Park
QUBO_W_SH_Q2183,SH_Q2183,QBW101,33.3516,-86.6863,Wild,Oak Mountain State Park
QUBO_W_SH_Q2186,SH_Q2186,QBW203,33.37889,-86.6736,Wild,Oak Mountain State Park
QUBO_W_IMLS186,IMLS186,QBW118,34.04724,-86.0301,Wild,Hinds Road
QUBO_W_IMLS187,IMLS187,QBW119,34.04729,-86.0299,Wild,Hinds Road
QUBO_W_IMLS189,IMLS189,QBW121,34.04758,-86.0298,Wild,Hinds Road
QUBO_W_IMLS195,IMLS195,QBW128,34.04842,-86.0301,Wild,Hinds Road
QUBO_W_IMLS197,IMLS197,QBW130,34.04798,-86.0309,Wild,Hinds Road
QUBO_W_IMLS200,IMLS200,QBW133,34.04752,-86.0308,Wild,Hinds Road
QUBO_W_IMLS201,IMLS201,QBW134,34.0474,-86.0311,Wild,Hinds Road
QUBO_W_IMLS210,IMLS210,QBW137,34.04739,-86.0272,Wild,Hinds Road
QUBO_W_IMLS216,IMLS216,QBW143,34.04796,-86.0272,Wild,Hinds Road
QUBO_W_IMLS220,IMLS220,QBW147,34.04887,-86.0278,Wild,Hinds Road
QUBO_W_IMLS222,IMLS222,QBW149,34.04921,-86.028,Wild,Hinds Road
QUBO_W_IMLS223,IMLS223,QBW150,34.0491,-86.0281,Wild,Hinds Road
QUBO_W_IMLS224,IMLS224,QBW151,34.04896,-86.0282,Wild,Hinds Road
QUBO_W_IMLS226,IMLS226,QBW153,34.04843,-86.0287,Wild,Hinds Road
QUBO_W_IMLS232,IMLS232,QBW159,34.04734,-86.0327,Wild,Hinds Road
QUBO_W_IMLS233,IMLS233,QBW160,34.04725,-86.0328,Wild,Hinds Road
QUBO_W_IMLS234,IMLS234,QBW161,34.04714,-86.0328,Wild,Hinds Road
QUBO_W_IMLS237,IMLS237,QBW164,34.04741,-86.0332,Wild,Hinds Road
QUBO_W_IMLS238,IMLS238,QBW165,34.04752,-86.0333,Wild,Hinds Road
QUBO_W_IMLS240,IMLS240,QBW167,34.04797,-86.0334,Wild,Hinds Road
QUBO_W_IMLS244,IMLS244,QBW171,34.04696,-86.0329,Wild,Hinds Road
QUBO_W_IMLS020,IMLS020,QBW241,33.30384,-86.765,Wild,Peavine Falls
QUBO_W_IMLS282,IMLS282,QBW214,33.30239,-86.7574,Wild,Peavine Falls
QUBO_W_IMLS283,IMLS283,QBW215,33.30402,-86.7584,Wild,Peavine Falls
QUBO_W_IMLS285,IMLS285,QBW217,33.30414,-86.7574,Wild,Peavine Falls
QUBO_W_IMLS293,IMLS293,QBW225,33.30603,-86.756,Wild,Peavine Falls
QUBO_W_IMLS307,IMLS307,QBW240,33.30429,-86.7648,Wild,Peavine Falls
QUBO_W_IMLS308,IMLS308,QBW242,33.9281939808279,-86.2745410110801,Wild,Population 11
QUBO_W_IMLS309,IMLS309,QBW243,33.9281939808279,-86.2745410110801,Wild,Population 11
QUBO_W_IMLS310,IMLS310,QBW244,33.9281939808279,-86.2745410110801,Wild,Population 11
QUBO_W_IMLS311,IMLS311,QBW245,33.9281939808279,-86.2745410110801,Wild,Population 11
QUBO_W_SH_Q2178,SH_Q2178,QBW246,33.9281939808279,-86.2745410110801,Wild,Population 11
