MSAT Samples (DNA Database Name),Populations,,
IMLS273,Blue Trail Kings Chair,,137IMLS273
IMLS274,Blue Trail Kings Chair,,138IMLS274
IMLS275,Blue Trail Kings Chair,,139IMLS275
IMLS276,Blue Trail Kings Chair,,140IMLS276
IMLS277,Blue Trail Kings Chair,,141IMLS277
IMLS017,EBSCO parking lot,,142IMLS017
IMLS018,EBSCO parking lot,,143IMLS018
IMLS258,EBSCO parking lot,,144IMLS258
IMLS260,EBSCO parking lot,,145IMLS260
IMLS262,EBSCO parking lot,,146IMLS262
IMLS264,EBSCO parking lot,,147IMLS264
IMLS278,EBSCO parking lot,,148IMLS278
IMLS279,EBSCO parking lot,,149IMLS279
IMLS280,EBSCO parking lot,,150IMLS280
IMLS013,Hinds Road,,151IMLS013
IMLS014,Hinds Road,,152IMLS014
IMLS181,Hinds Road,,153IMLS181
IMLS182,Hinds Road,,154IMLS182
IMLS183,Hinds Road,,155IMLS183
IMLS184,Hinds Road,,156IMLS184
IMLS185,Hinds Road,,157IMLS185
IMLS186,Hinds Road,,158IMLS186
IMLS187,Hinds Road,,159IMLS187
IMLS188,Hinds Road,,160IMLS188
IMLS189,Hinds Road,,161IMLS189
IMLS190,Hinds Road,,162IMLS190
IMLS191,Hinds Road,,163IMLS191
IMLS192,Hinds Road,,164IMLS192
IMLS193,Hinds Road,,165IMLS193
IMLS194,Hinds Road,,166IMLS194
IMLS195,Hinds Road,,167IMLS195
IMLS196,Hinds Road,,168IMLS196
IMLS197,Hinds Road,,169IMLS197
IMLS198,Hinds Road,,170IMLS198
IMLS199,Hinds Road,,171IMLS199
IMLS200,Hinds Road,,172IMLS200
IMLS201,Hinds Road,,173IMLS201
IMLS202,Hinds Road,,174IMLS202
IMLS209,Hinds Road,,175IMLS209
IMLS210,Hinds Road,,176IMLS210
IMLS211,Hinds Road,,177IMLS211
IMLS212,Hinds Road,,178IMLS212
IMLS213,Hinds Road,,179IMLS213
IMLS214,Hinds Road,,180IMLS214
IMLS215,Hinds Road,,181IMLS215
IMLS216,Hinds Road,,182IMLS216
